school,address,profileId,reason,sourceUrl,verificationSource
甘孜职业学院,校本部：甘孜州海螺沟景区南磨大道1号,3595,仅定位至城市，县区待核,,
重庆工信职业学院,长寿校区：重庆市长寿高新区北城大道2020号,3594,仅定位至城市，县区待核,,
广东梅州职业技术学院,广梅产业园校区：广州梅州产业转移园蕉岭路,3586,仅定位至城市，县区待核,,
信阳艺术职业学院,信阳市羊山校区：河南省信阳市羊山新区经北一路,3581,仅定位至城市，县区待核,,
洛阳文化旅游职业学院,伊滨校区：河南省洛阳市伊滨区玉泉街299号,3579,仅定位至城市，县区待核,,
宿州航空职业学院,安徽省宿州市宿马园区马鞍山大道588号,3576,仅定位至城市，县区待核,,
吉林通用航空职业技术学院,吉林省吉林市高新北区科技大路777号,3572,仅定位至城市，县区待核,,
塔里木职业技术学院,新疆生产建设兵团第一师阿拉尔市青松路工业园区,3533,第三方档案县区代码（非官网核验）,,
河南对外经济贸易职业学院,开封校区：郑汴一体化示范区职教园区十大街,3511,仅定位至城市，县区待核,,
河南女子职业学院,东校区：郑州市北环路东段10号,3510,仅定位至城市，县区待核,,
邯郸科技职业学院,河北省邯郸市冀南新区滏阳路1号,3495,仅定位至城市，县区待核,,
辽宁师范高等专科学校,奥体校区：辽宁省沈阳市浑南新区富民南街56号,3478,仅定位至城市，县区待核,,
安徽艺术学院,丹霞路校区：安徽省合肥市经济技术开发区大学城丹霞路8号,3461,仅定位至城市，县区待核,,
安徽艺术学院,宣城路校区：安徽省合肥市宣城路16号,3461,仅定位至城市，县区待核,,
铁门关职业技术学院,主校区：新疆维吾尔自治区铁门关市迎宾大道,3455,仅定位至城市，县区待核,,
石河子工程职业技术学院,新疆石河子市北工业园区北十二路,3424,第三方档案县区代码（非官网核验）,,
承德应用技术职业学院,南校区：河北省承德市高新技术开发区,3419,仅定位至城市，县区待核,,
新疆科技职业技术学院,新疆维吾尔自治区五家渠市猛进南路980号,3408,第三方档案县区代码（非官网核验）,,
云南特殊教育职业学院,呈贡校区：云南省昆明市呈贡大学城吴家营街道万峰街1909号,3405,仅定位至城市，县区待核,,
云南轻纺职业学院,云南省昆明市安宁职业教育基地宁泊路54号,3404,仅定位至城市，县区待核,,
四川体育职业学院,华西坝校区：四川省成都市一环路南三段16号,3401,仅定位至城市，县区待核,,
天府新区航空旅游职业学院,天府校区：四川省天府新区剑南大道南延线航空大道中段168号,3398,仅定位至城市，县区待核,,
天府新区航空旅游职业学院,仁寿校区：四川省眉山市天府仁寿大道66号,3398,仅定位至城市，县区待核,,
湖南劳动人事职业学院,湖南省长沙经济技术开发区开元东路1319号,3385,仅定位至城市，县区待核,,
株洲师范高等专科学校,云龙校区：湖南省株洲市经开区智慧路89号,3379,仅定位至城市，县区待核,,
长江艺术工程职业学院,湖北省荆州市纪南生态文化旅游区孙叔敖路1号,3377,仅定位至城市，县区待核,,
武汉海事职业学院,武汉市汉口北经济开发区十里棚特1号,3376,仅定位至城市，县区待核,,
湖北幼儿师范高等专科学校,汤逊湖校区：湖北省武汉市江夏庙山开发区华泰路95号,3374,仅定位至城市，县区待核,,
湖北幼儿师范高等专科学校,葛店校区：湖北省鄂州市葛店经济开发区高新东路特1号,3374,仅定位至城市，县区待核,,
河南测绘职业学院,郑州市郑东新区工贸路30号,3369,仅定位至城市，县区待核,,
三门峡社会管理职业学院,河南省三门峡市职业教育园区学府路,3368,仅定位至城市，县区待核,,
郑州财税金融职业学院,校本部：河南省郑州市郑尉路18号,3367,仅定位至城市，县区待核,,
河南物流职业学院,平原校区：河南省郑州市黄河大桥北中州大道与郑焦晋（原焦）高速交叉口西侧,3366,仅定位至城市，县区待核,,
河南物流职业学院,新乡校区：新乡市科隆大道114号,3366,仅定位至城市，县区待核,,
驻马店幼儿师范高等专科学校,盘龙校区：河南省驻马店市盘龙山路2658号,3364,仅定位至城市，县区待核,,
濮阳医学高等专科学校,濮阳市城乡一体化示范区文岩街商鞅路交叉口向东160米路北,3362,仅定位至城市，县区待核,,
河南林业职业学院,中州校区：河南省洛阳市中州东路2号,3361,仅定位至城市，县区待核,,
河南林业职业学院,三川校区：河南省洛阳市洛常路168号,3361,仅定位至城市，县区待核,,
河南林业职业学院,黄梅校区：河南省洛阳市黄梅路19号,3361,仅定位至城市，县区待核,,
河南林业职业学院,建春门校区：河南省洛阳市建春门大街与复兴路交叉口向东100米,3361,仅定位至城市，县区待核,,
赣南卫生健康职业学院,江西省赣州市蓉江新区高校园区,3358,仅定位至城市，县区待核,,
抚州幼儿师范高等专科学校,抚州市王安石大道99号,3355,仅定位至城市，县区待核,,
泉州工程职业技术学院,泉州市南安科技教育园区彬星988号（南安一中校区对面）,3352,仅定位至城市，县区待核,,
江苏旅游职业学院,九龙湖校区：江苏省扬州市毓秀路88号,3348,仅定位至城市，县区待核,,
江苏航空职业技术学院,江苏省镇江瑞城路88号,3346,仅定位至城市，县区待核,,
江苏城乡建设职业学院,殷村校区：江苏省常州市殷村职教园和裕路1号,3345,仅定位至城市，县区待核,,
盐城幼儿师范高等专科学校,学海路校区：江苏省盐城市高职园区学海路28号,3342,仅定位至城市，县区待核,,
盐城幼儿师范高等专科学校,海洋路校区：江苏省盐城市高职园区海洋路28号,3342,仅定位至城市，县区待核,,
南京审计大学金审学院,南京市仙林大学城仙林大道100号,3340,仅定位至城市，县区待核,,
唐山幼儿师范高等专科学校,河北省唐山市高新技术开发区京唐智慧港,3334,仅定位至城市，县区待核,,
石家庄城市经济职业学院,主校区：河北省石家庄市经济技术开发区岗上镇文明路12号,3332,仅定位至城市，县区待核,,
石家庄城市经济职业学院,东校区：河北省石家庄市经济技术开发区（东区）鼎盛街3号,3332,仅定位至城市，县区待核,,
吉林水利电力职业学院,吉林省长春市净月开发区聚业大街6566号,3329,仅定位至城市，县区待核,,
长春师范高等专科学校,长春市农安经济开发区合隆镇长隆大街2015-1号,3328,仅定位至城市，县区待核,,
昆明铁道职业技术学院,小石坝校区：昆明市经济技术开发区小石坝16号,3321,仅定位至城市，县区待核,,
新疆工程职业大学,新疆维吾尔自治区铁门关市敬业大街2号,3318,第三方档案县区代码（非官网核验）,,
太原幼儿师范高等专科学校,兴华校区：山西省太原市兴华街67号,3296,仅定位至城市，县区待核,,
甘肃财贸职业学院,兰州新区职教园校区：甘肃省兰州市兰州新区职教园区海河街766号,3292,仅定位至城市，县区待核,,
兰州现代职业学院,甘肃省兰州新区职教园区（兰州新区九龙江街500号）,3289,仅定位至城市，县区待核,,
闽江师范高等专科学校,旗山校区：福建省福州市上街大学城学府南路1号,3282,仅定位至城市，县区待核,,
海南健康管理职业技术学院,金江校区：海南省澄迈县金江镇文化北路1号,3279,仅定位至城市，县区待核,,
海南健康管理职业技术学院,老城校区：海南省澄迈县老城镇北一环路,3279,仅定位至城市，县区待核,,
阳泉职业技术学院,阳泉市漾泉大街9号,3278,仅定位至城市，县区待核,,
朔州师范高等专科学校,山西省朔州市开发区长宁东街85号,3277,仅定位至城市，县区待核,,
曹妃甸职业技术学院,河北省唐山市曹妃甸新城行知路25号,3274,仅定位至城市，县区待核,,
长春健康职业学院,吉林省长春市高新区锦河街155号,3260,仅定位至城市，县区待核,,
福州墨尔本理工职业学院,福建省福州大学城联榕路9号,3259,仅定位至城市，县区待核,,
陕西机电职业技术学院,千河校区：陕西省宝鸡市陈仓大道千河桥西,3258,仅定位至城市，县区待核,,
阜阳幼儿师范高等专科学校,安徽省阜阳市清河西路259号,3256,仅定位至城市，县区待核,,
江西师范高等专科学校,江西省鹰潭市信江新区滨江东路1号,3253,仅定位至城市，县区待核,,
江西水利职业学院,校本部：江西省南昌市国家经济开发区北山路99号,3249,仅定位至城市，县区待核,,
江西水利职业学院,校址二：江西省赣江新区永修组团湖东新区纵一路1号,3249,仅定位至城市，县区待核,,
广东茂名幼儿师范专科学校,茂名校区：广东省茂名市西城西路6号,3239,仅定位至城市，县区待核,,
毕节医学高等专科学校,主校区：贵州省毕节市高新区双山职教城文馨大道1号,3235,仅定位至城市，县区待核,,
南通师范高等专科学校,开发区校区：江苏省南通市经济技术开发区育贤路2号,3230,仅定位至城市，县区待核,,
广东酒店管理职业技术学院,广东省东莞市厚街镇教育园区学府路1号,3219,仅定位至城市，县区待核,,
内蒙古艺术学院,云谷校区：呼和浩特市和林格尔新区云谷大道,3215,仅定位至城市，县区待核,,
广西培贤国际职业学院,广西平果县大学城大学东路12号,3212,仅定位至城市，县区待核,,
成都工业职业技术学院,天府校区：四川省成都市天府新区大安路818号,3204,仅定位至城市，县区待核,,
成都工业职业技术学院,高新校区：四川省成都市高新区府城大道西段769号,3204,仅定位至城市，县区待核,,
四川西南航空职业学院,西区：四川省成都国际职教城学府大道996号,3200,仅定位至城市，县区待核,,
四川西南航空职业学院,东区：四川省成都国际职教城杨溪大道999号,3200,仅定位至城市，县区待核,,
山东艺术设计职业学院,黄台校区：山东省济南市航运路北首黄台山庄109号,3192,仅定位至城市，县区待核,,
四川护理职业学院,德阳校区：四川省德阳市一环路东一段199号,3186,仅定位至城市，县区待核,,
甘肃卫生职业学院,新区校区：甘肃省兰州市新区职教园区九龙江街1666号,3154,仅定位至城市，县区待核,,
合肥幼儿师范高等专科学校,学林路校区：安徽省合肥市新站高新区学林路1100号,3115,仅定位至城市，县区待核,,
合肥幼儿师范高等专科学校,少荃湖校区：安徽省合肥市新站高新区文忠路2299号,3115,仅定位至城市，县区待核,,
菏泽职业学院,山东省菏泽市长城路999号,3113,仅定位至城市，县区待核,,
辽宁轨道交通职业学院,辽宁省沈阳经济技术开发区十三号路17甲5号,3106,仅定位至城市，县区待核,,
辽宁轻工职业学院,辽宁省大连市金普新区金港路288号,3105,仅定位至城市，县区待核,,
平顶山职业技术学院,新校区：河南省平顶山市城乡一体化示范区长安大道西段（郑万高铁平顶山站西侧）,3098,仅定位至城市，县区待核,,
陕西艺术职业学院,文艺南路校区：陕西省西安市文艺南路111号,3097,仅定位至城市，县区待核,,
泰州学院,济川校区：江苏省泰州市济川东路93号,3094,仅定位至城市，县区待核,,
徐州幼儿师范高等专科学校,洞山校区：江苏徐州经济技术开发区桃园路6号,3089,仅定位至城市，县区待核,,
徐州幼儿师范高等专科学校,碧螺校区：徐州经济技术开发区洞山路17号,3089,仅定位至城市，县区待核,,
哈尔滨传媒职业学院,二校区：哈尔滨市松花路88号,3083,仅定位至城市，县区待核,,
重庆科技职业学院,双桥校区：重庆市双桥经济技术开发区天星大道25号,3075,仅定位至城市，县区待核,,
河南牧业经济学院,龙子湖校区：河南省郑州市郑东新区龙子湖北路6号,3073,仅定位至城市，县区待核,,
河南信息统计职业学院,白沙校区：郑州市郑东新区金龙路276号,3068,仅定位至城市，县区待核,,
河南水利与环境职业学院,航空港校区：郑州航空港经济综合实验区双鹤湖片区梅河路与工业十一路交汇处,3067,仅定位至城市，县区待核,,
沈阳北软信息职业技术学院,辽宁省沈阳市沈北路53号,3063,仅定位至城市，县区待核,,
营口理工学院,辽宁省营口市博文路46号,3061,仅定位至城市，县区待核,,
河南护理职业学院,中华路校区：河南省安阳市中华路480号,3040,仅定位至城市，县区待核,,
河南护理职业学院,安漳路校区：河南省安阳市盘庚街67号,3040,仅定位至城市，县区待核,,
郑州黄河护理职业学院,高新校区：郑州市高新技术产业开发区西四环路200号,3036,仅定位至城市，县区待核,,
郑州幼儿师范高等专科学校,象湖校区：郑州市郑东新区郑开大道66号,3035,仅定位至城市，县区待核,,
福建幼儿师范高等专科学校,白马校区：福建省福州市白马北路勺园里49号,2970,仅定位至城市，县区待核,,
山东财经大学燕山学院,山东省济南市莱芜高新技术产业开发区山财大街5号,2966,仅定位至城市，县区待核,,
甘肃有色冶金职业技术学院,甘肃省金昌市天津路101号,2952,仅定位至城市，县区待核,,
湖北体育职业学院,湖北省武汉市东湖新技术开发区高新大道333号,2949,仅定位至城市，县区待核,,
广东创新科技职业学院,广东省东莞市厚街镇教育园区学府路,2946,仅定位至城市，县区待核,,
阿拉善职业技术学院,巴彦浩特校区：阿拉善盟阿左旗巴彦浩特镇西城区西花园北街10号,2936,仅定位至城市，县区待核,,
阿拉善职业技术学院,乌斯太校区：阿拉善盟高新技术产业开发区贺兰新区,2936,仅定位至城市，县区待核,,
洛阳职业技术学院,伊滨校区：河南省洛阳市伊滨区科技大道6号,2931,仅定位至城市，县区待核,,
山东海事职业学院,南区：潍坊市滨海经济技术开发区科教创新园区智慧南二街1000号,2928,仅定位至城市，县区待核,,
山东海事职业学院,北区：潍坊滨海经济技术开发区智慧北二街00999号,2928,仅定位至城市，县区待核,,
天门职业学院,湖北省天门市学院路特1号,2927,第三方档案县区代码（非官网核验）,,
安徽扬子职业技术学院,安徽省芜湖市三山区浮山路68号,2923,仅定位至城市，县区待核,,
四川电影电视学院,安仁校区：四川省成都市安仁镇金山路188号,2917,仅定位至城市，县区待核,,
鹤壁汽车工程职业学院,淇滨校区：河南省鹤壁市职教园区,2914,仅定位至城市，县区待核,,
宁波幼儿师范高等专科学校,杭州湾校区：宁波市前湾新区金慈路316号,2905,仅定位至城市，县区待核,,
张家口学院,明湖校区：河北省张家口市经开区洋河新区景观大道北侧,2902,仅定位至城市，县区待核,,
南昌师范学院,昌北校区：江西省南昌市经济技术开发区瑞香路889号,2889,仅定位至城市，县区待核,,
江西服装学院,江西省南昌市向塘经济开发区丽湖中大道103号,2887,仅定位至城市，县区待核,,
赣州师范高等专科学校,江西省赣州市蓉江新区高校园区35号,2885,仅定位至城市，县区待核,,
成都师范学院,白果林校区：四川省成都市一环路西三段百寿路4号,2869,仅定位至城市，县区待核,,
山西卫生健康职业学院,双东校区：山西省太原市双塔寺街22号,2865,仅定位至城市，县区待核,,
运城护理职业学院,山西省运城市复旦西街2155号,2864,仅定位至城市，县区待核,,
河北资源环境职业技术学院,校本部：石家庄市中山西路901号,2859,仅定位至城市，县区待核,,
河北轨道运输职业技术学院,开发区校区：河北省石家庄市经济技术开发区赣江路9号,2858,仅定位至城市，县区待核,,
河北轨道运输职业技术学院,阿里山校区：石家庄市经济技术开发区阿里山大街18号,2858,仅定位至城市，县区待核,,
石家庄幼儿师范高等专科学校,河北省石家庄市鹿泉开发区御园路88号,2857,仅定位至城市，县区待核,,
廊坊卫生职业学院,河北省廊坊市经济开发区东方大学城四光路南,2854,仅定位至城市，县区待核,,
石家庄经济职业学院,高职校区：河北省石家庄市北郊107国道与常山西路交叉口47号,2853,仅定位至城市，县区待核,,
华北理工大学冀唐学院,河北省唐山市曹妃甸新城渤海大道21号,2847,仅定位至城市，县区待核,,
陕西服装工程学院,主校区：陕西省西安市西咸新区沣西新城同文路1号,2846,仅定位至城市，县区待核,,
山西工商学院,龙城校区：太原市坞城南路99号,2840,仅定位至城市，县区待核,,
山西工商学院,北格校区：太原市北格镇紫云路36号,2840,仅定位至城市，县区待核,,
安徽外国语学院,安徽省合肥市繁华大道（西）2号,2839,仅定位至城市，县区待核,,
山东协和学院,遥墙校区：山东省济南市高新区临港街道温泉路5688号,2837,仅定位至城市，县区待核,,
广东科技学院,南城校区：广东省东莞市南城区西湖路99号,2835,仅定位至城市，县区待核,,
广东科技学院,松山湖校区：广东省东莞市松山湖高新技术产业开发区东园大道松山湖段2号,2835,仅定位至城市，县区待核,,
东莞职业技术学院,松山湖校区：东莞市松山湖高新技术产业开发区大学路3号,2684,仅定位至城市，县区待核,,
东莞职业技术学院,道滘校区：广东省东莞市道滘镇粤晖路3号,2684,仅定位至城市，县区待核,,
东莞职业技术学院,大岭山校区：广东省东莞市大岭山镇连平连马路183号,2684,仅定位至城市，县区待核,,
郑州信息工程职业学院,南校区：郑州市中原西路桃贾路19号,2677,仅定位至城市，县区待核,,
郑州理工职业学院,校本部：郑州市新郑龙湖大学城南107国道西侧,2676,仅定位至城市，县区待核,,
焦作工贸职业学院,沁阳校区：河南焦作沁阳香港街1号,2673,仅定位至城市，县区待核,,
焦作工贸职业学院,山阳校区：焦作市中原路南段1216号,2673,仅定位至城市，县区待核,,
河南艺术职业学院,新校区：河南省郑州市郑东新区郑开大道132号,2672,仅定位至城市，县区待核,,
河南应用技术职业学院,郑州校区：郑州市建设西路548号,2671,仅定位至城市，县区待核,,
河南应用技术职业学院,开封南院校区：开封市职教园区东京大道与第九大街交会处,2671,仅定位至城市，县区待核,,
河南应用技术职业学院,开封北院校区：开封市职教园区复兴大道与第七大街交会处,2671,仅定位至城市，县区待核,,
安徽汽车职业技术学院,紫云校区：安徽省合肥市经济技术开发区紫云路99号,2668,仅定位至城市，县区待核,,
安徽汽车职业技术学院,莲花校区：安徽省合肥经济技术开发区石门路518号,2668,仅定位至城市，县区待核,,
皖西卫生职业学院,主校区：安徽省六安市皋城中路406号,2664,仅定位至城市，县区待核,,
宿迁泽达职业技术学院,江苏省宿迁市湖滨新区学成路666号,2663,仅定位至城市，县区待核,,
苏州工业园区服务外包职业学院,苏州市工业园区科教创新区松涛街208号,2662,仅定位至城市，县区待核,,
呼伦贝尔职业技术学院,呼伦贝尔市中心城新区规划3道街,2649,仅定位至城市，县区待核,,
河南医学高等专科学校,南校区：河南省郑州市新郑龙湖镇双湖大道8号,2638,仅定位至城市，县区待核,,
北京交通运输职业学院,通州校区：通州梨园镇云景东路90号,2637,仅定位至城市，县区待核,,
新疆政法学院,新疆图木舒克市前海东街52号,2631,第三方档案县区代码（非官网核验）,,
南宁理工学院,南宁校区：广西南宁市广西-东盟经济技术开发区发展大道16号,2628,仅定位至城市，县区待核,,
山东女子学院,玉函校区：中国山东济南市玉函路45号,2609,仅定位至城市，县区待核,,
山东女子学院,长清校区：山东省济南市长清大学科技园大学路2399号,2609,仅定位至城市，县区待核,,
福建江夏学院,福建省福州市溪源宫路2号,2606,仅定位至城市，县区待核,,
衢州学院,浙江省衢州市九华北大道78号,2604,仅定位至城市，县区待核,,
贵州工业职业技术大学,清镇校区：贵州清镇职教城将军石路3号,2567,仅定位至城市，县区待核,,
西安科技大学高新学院,陕西省西安市子午大道中段39号,2563,仅定位至城市，县区待核,,
南京邮电大学通达学院,江苏省扬州市润扬南路33号,2553,仅定位至城市，县区待核,,
江苏师范大学科文学院,潘安湖校区：江苏省徐州市潘安湖科教创新区学院路1号,2552,仅定位至城市，县区待核,,
扬州大学广陵学院,江苏省扬州市邗江南路199号,2551,仅定位至城市，县区待核,,
苏州大学应用技术学院,江苏省苏州市昆山周庄大学路1号,2549,仅定位至城市，县区待核,,
南京理工大学紫金学院,江苏省南京市仙林大学城文澜路89号,2541,仅定位至城市，县区待核,,
扬州职业技术大学,瘦西湖校区：江苏省扬州市翠岗路255号,2538,仅定位至城市，县区待核,,
黑龙江工程学院昆仑旅游学院,黑龙江省哈尔滨市哈同G221公路297号二龙山风景区,2536,仅定位至城市，县区待核,,
哈尔滨广厦学院,黑龙江省哈尔滨市利民开发区学院路1号,2534,仅定位至城市，县区待核,,
黑龙江工商学院,哈南校区：黑龙江省哈南工业新城崇文路9号,2532,仅定位至城市，县区待核,,
哈尔滨远东理工学院,黑龙江省哈尔滨市利民开发区学院路时代大街158号,2530,仅定位至城市，县区待核,,
滇池学院,校本部：云南省昆明市滇池国家旅游度假区红塔东路2号,2523,仅定位至城市，县区待核,,
滇池学院,杨林校区：云南省昆明市嵩明职教新城文轩路,2523,仅定位至城市，县区待核,,
滇池学院,阳宗海校区：云南省昆明市阳宗海风景名胜区汤池街道,2523,仅定位至城市，县区待核,,
聊城大学东昌学院,山东省聊城市北外环路266号,2519,仅定位至城市，县区待核,,
潍坊理工学院,中心校区：山东省潍坊市经济开发区民主街7777号,2518,仅定位至城市，县区待核,,
齐鲁理工学院,济南校区：山东省济南市经十东路3028号,2517,仅定位至城市，县区待核,,
山东理工职业学院,主校区：山东省济宁市太白湖新区济宁大道37号,2511,仅定位至城市，县区待核,,
枣庄职业学院,枣庄新城校区：枣庄市祁连山路2169号,2510,仅定位至城市，县区待核,,
山东传媒职业学院,章丘校区：山东省济南市经十东路8678号,2508,仅定位至城市，县区待核,,
山东传媒职业学院,文东校区：山东省济南市文化东路18号,2508,仅定位至城市，县区待核,,
德州职业技术学院,山东省德州市大学东路689号,2507,仅定位至城市，县区待核,,
烟台工程职业技术学院,山东省烟台市经济技术开发区珠江路92号,2506,仅定位至城市，县区待核,,
四川城市职业学院,成都校区：四川省成都市外东洪河中路351号,2505,仅定位至城市，县区待核,,
四川城市职业学院,眉山校区：四川省眉山市岷东新区岷东大道南段1号,2505,仅定位至城市，县区待核,,
四川现代职业学院,四川省成都市西南航空港华创路1号,2504,仅定位至城市，县区待核,,
西南财经大学天府学院,绵阳校区：四川省绵阳市科创园区园兴西街2号,2502,仅定位至城市，县区待核,,
四川文化艺术学院,绵阳校区：四川省绵阳市经开区机场东路83号,2500,仅定位至城市，县区待核,,
成都外国语学院,宜宾校区：四川省宜宾市临港经济技术开发区大学城路三段216号,2497,仅定位至城市，县区待核,,
成都文理学院,洪河校区：四川省成都市外东洪河中路351号,2496,仅定位至城市，县区待核,,
新疆职业大学,友好路校区：新疆乌鲁木齐市友好南路413号,2486,仅定位至城市，县区待核,,
东莞城市学院,广东省东莞市寮步镇文昌路1号,2483,仅定位至城市，县区待核,,
电子科技大学中山学院,广东省中山市石岐区学院路一号,2482,仅定位至城市，县区待核,,
湖南工程学院应用技术学院,湖南省湘潭市书院路17号,2477,仅定位至城市，县区待核,,
南华大学船山学院,湖南省衡阳市常胜西路28号,2473,仅定位至城市，县区待核,,
湖南生物机电职业技术学院,马坡岭校区：湖南省长沙市远大二路247号,2464,仅定位至城市，县区待核,,
湖北工程学院新技术学院,湖北省孝感市学院路158号,2460,仅定位至城市，县区待核,,
安阳学院,安阳校区：河南省安阳市中华路南段599号,2448,仅定位至城市，县区待核,,
驻马店职业技术学院,南校区：河南省驻马店市置地大道西段517号,2447,仅定位至城市，县区待核,,
驻马店职业技术学院,北校区：河南省驻马店市学院路和顺河路交叉口西北,2447,仅定位至城市，县区待核,,
新乡职业技术学院,校本部：河南省新乡经济技术开发区经三路6号,2446,仅定位至城市，县区待核,,
江西枫林涉外经贸职业学院,江西省赣江新区永修组团,2442,仅定位至城市，县区待核,,
南昌应用技术师范学院,九龙湖校区：江西省南昌市红谷滩新区明月山大道1599号,2438,仅定位至城市，县区待核,,
南昌医学院,象湖校区：江西省南昌市小蓝经济开发区汇仁大道689号,2434,仅定位至城市，县区待核,,
南昌航空大学科技学院,江西省南昌市赣江新区共青城市青年大道69号,2433,仅定位至城市，县区待核,,
南昌交通学院,黄家湖校区：江西省南昌市南昌经济技术开发区广兰大道899号,2430,仅定位至城市，县区待核,,
江西传媒职业学院,蒋巷校区：江西省南昌市蒋巷西大道266号,2426,仅定位至城市，县区待核,,
泉州轻工职业学院,福建省泉州市晋江博览大道,2422,仅定位至城市，县区待核,,
民办合肥滨湖职业技术学院,安徽省合肥市经济技术开发区方兴大道559号,2419,仅定位至城市，县区待核,,
合肥信息技术职业学院,安徽省合肥市大学城九龙路115号（安徽大学新校区西门南500米）,2418,仅定位至城市，县区待核,,
皖江工学院,霍里山校区：安徽省马鞍山市霍里山大道333号,2415,仅定位至城市，县区待核,,
皖江工学院,郑蒲港校区：安徽省马鞍山市郑蒲港新区河海中路666号,2415,仅定位至城市，县区待核,,
合肥城市学院,滨湖校区：安徽省合肥市黄麓科教园1号,2412,仅定位至城市，县区待核,,
合肥城市学院,北城校区：安徽省合肥市金岗大道88号,2412,仅定位至城市，县区待核,,
合肥经济学院,高教基地校区：安徽省合肥市新站区学府路1号,2407,仅定位至城市，县区待核,,
合肥经济学院,新桥校区：安徽省新站新桥国际产业园丰收大道22号,2407,仅定位至城市，县区待核,,
合肥经济学院,大学城校区：安徽省合肥市经济技术开发区合安路218号,2407,仅定位至城市，县区待核,,
徽商职业学院,紫蓬校区：安徽省合肥市紫蓬山森林大道,2404,仅定位至城市，县区待核,,
宁波财经学院,杭州湾校区：浙江省宁波市（慈溪）杭州湾新区博华路77号,2401,仅定位至城市，县区待核,,
上海财经大学浙江学院,浙江省金华市环城南路99号,2400,仅定位至城市，县区待核,,
温州商学院,浙江省温州市高教园区,2398,仅定位至城市，县区待核,,
中国计量大学现代科技学院,下沙校区：浙江省杭州市下沙高教园区学源街258号,2395,仅定位至城市，县区待核,,
浙江工商大学杭州商学院,桐庐校区：浙江杭州桐庐环城南路66号,2394,仅定位至城市，县区待核,,
温州理工学院,浙江省温州市经济技术开发区金海三道337号,2393,仅定位至城市，县区待核,,
杭州师范大学钱江学院,浙江省杭州市江干区下沙高教园区学林街16号,2390,仅定位至城市，县区待核,,
温州医科大学仁济学院,茶山校区：浙江省温州市茶山高教园区,2388,仅定位至城市，县区待核,,
杭州科技职业技术学院,高桥校区：浙江省杭州市富阳高科路198号,2378,仅定位至城市，县区待核,,
杭州科技职业技术学院,严州校区：浙江省杭州市建德梅城镇环城西路52号,2378,仅定位至城市，县区待核,,
梧州职业学院,广西壮族自治区梧州市三龙大道88号,2374,仅定位至城市，县区待核,,
南宁师范大学师园学院,明阳校区：广西壮族自治区南宁市明阳工业区明阳大道15号,2369,仅定位至城市，县区待核,,
广西幼儿师范高等专科学校,东盟校区：广西东盟经济技术开发区发展大道2号,2365,仅定位至城市，县区待核,,
广西民族师范学院,广西壮族自治区崇左市城南区佛子路23号,2364,仅定位至城市，县区待核,,
